Código UFCD;UFCD;Carga Horária UFCD;Componente;Código Área de Formação;Designação Área de Formação;Código Qualificação;Qualificação;Nível QNQ;Nível QEQ
17;Impressão e acabamentos;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
17;Impressão e acabamentos;50;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
18;Digitalização de imagens – pré-impressão;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
19;Métodos e técnicas de tratamento de imagens;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
20;Fotolitos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
21;Ferramenta Photoshop;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
22;Técnicas de vectorização manual e automática;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
23;Identificação e digitalização de originais;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
24;Tratamento de imagens;50;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
25;Gravação e execução de saídas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
26;Elaboração e correção de gráficos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213001;Operador/a de Pré-Impressão;2;2
27;Equipamentos de fototransporte, provas heliográficas e prensas de transporte;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
28;Preparação de químicos, execução de fototransporte, revelação e recuperação de chapas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
29;Pré-impressão convencional;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
30;Cortes de papel;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
31;Vinco e dobra;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
32;Corte e vinco;50;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
33;Impressão;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
34;Pré-impressão eletrónica;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
35;Sistemas de alimentação de papel e afinação de equipamentos impressores;50;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
36;Características dos consumíveis e alimentação da máquina com água e tinta;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
37;Colocação, tratamento da chapa e técnicas de controlo das margens e de afinação da tintagem;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
38;Reprodução de imagens a cores e composição de tintas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
39;Impressão com cores diretas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
39;Impressão com cores diretas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
40;Acabamento - livro e revista;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
41;Pré-impressão - equipamentos e fototransporte;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
42;Equipamentos - impressores multicolores;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
43;Características dos consumíveis;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
44;Técnicas de composição das tintas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
45;Preparação e afinação de máquinas com sistema de marcador em escama;50;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
46;Impressão a duas cores em simultâneo;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
46;Impressão a duas cores em simultâneo;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
47;Impressão com fundos e seleção de cores;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
47;Impressão com fundos e seleção de cores;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
48;Impressão computorizada;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
49;Pós-impressão;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
50;Orçamentação e planeamento;25;Tecnológica;213;Audiovisuais e Produção dos Media;213002;Operador/a de Impressão;2;2
50;Orçamentação e planeamento;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
51;Técnicas de corte de papel;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
52;Cortes em guilhotinas unilaterais e trilaterais;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
53;Corte de livros e revistas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
54;Corte de papelão para pastas de capa dura em cisalha linear e circular;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
55;Prática de corte - prevenção e segurança;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
56;Execução de dobras e alçadas;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
57;Programação da guilhotina;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
58;Costura com linha;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
59;Encasamento de revistas e afinação das máquinas;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
60;Prática de coser mecanicamente livros e revistas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
61;Costura a arame, encasamento e corte;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
62;Encasamento manual;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
63;Encasamento em máquina de acabamento em linha;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
64;Execução de brochura (capa mole);25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
65;Execução de cartonagem (capa dura) - corte;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
66;Execução de cartonagem (capa dura) - bitola e preparação da cola;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
67;Prática em máquinas de brochura (capa mole);50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
68;Prática em máquinas de armar capas: corte de cartão em cisalha circular;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
69;Prática em máquinas de armar capas - afinações e preparação da cola;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
70;Afinação do módulo de colagem;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
71;Afinação do módulo de caranguejo;50;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
72;Afinação do aperto e corte automático da capa;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
73;Aplicação do módulo de colagem do virado da tarlanta e prensa;25;Tecnológica;213;Audiovisuais e Produção dos Media;213003;Operador/a Gráfico de Acabamentos;2;2
77;Áreas de produção de um trabalho gráfico e géneros e processos de edição;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
78;Paginação, composição de texto, arquitetura do livro, desenho e arranjo gráfico da letra;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
79;Parâmetros de conceção gráfica, estilos de grafismos pessoais e contemporâneos e realização de maquetas;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
82;Técnicas de paginação;50;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
85;Função e géneros de ilustração;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
93;Desenho de observação - materiais, técnicas e composição;50;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
96;Elementos de uma imagem corporativa;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
99;Conceção da linha gráfica de produtos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
99;Conceção da linha gráfica de produtos;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
104;Execução de desenho vetorial;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
106;História da fotografia;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
106;História da fotografia;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
107;Fotografia - iniciação;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
107;Fotografia - iniciação;50;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
108;Máquinas fotográficas - objetivas e comandos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
109;Fontes luminosas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
110;Definição e cálculo da exposição adequada;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
111;Técnicas de fotografia, execução de fotografia e exposição;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
112;Revelação de um filme P/B exposto;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
113;Descrição do processo E-6 e do processo C-41/R-A4;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
114;Ampliadores P/B e seus comandos;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
115;Execução de provas diretas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
116;Execução de provas manipuladas;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
117;Ampliadores de cor;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
118;Processo de impressão cor;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
119;Teoria da cor - conceitos básicos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
120;Impressão de película em minilab;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
121;Equipamentos digitais;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
122;Software adequado ao tratamento de imagens;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
123;Acessórios fotográficos;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
124;Equipamentos essenciais à fotografia de estúdio;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
125;Técnicas de fotografia de estúdio;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
126;Fotografia de estúdio no âmbito do mercado;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
127;Mercado da fotografia;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
128;Estética fotográfica;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
130;Acabamento e apresentação de um trabalho fotográfico;50;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
131;Montagem de uma exposição;25;Tecnológica;213;Audiovisuais e Produção dos Media;213005;Operador/a de Fotografia;2;2
132;Noções de hardware e sistemas operativos para multimédia;50;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
133;E-Direito;25;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
133;E-Direito;25;Tecnológica;213;Audiovisuais e Produção dos Media;213370;Técnico/a de Audiovisuais;4;4
133;E-Direito;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
135;Design - comunicação e multimédia;25;Tecnológica;213;Audiovisuais e Produção dos Media;213371;Técnico/a de Artes Gráficas;4;4
135;Design - comunicação e multimédia;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
137;Desenho vetorial - criação e manipulação de imagens;50;Tecnológica;215;Artesanato;215019;Técnico/a de Vidro Artístico;4;4
137;Desenho vetorial - criação e manipulação de imagens;50;Tecnológica;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e Outros);543134;Técnico/a de Modelação Cerâmica;4;4
139;Criação e tratamento de imagens matriciais;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
140;Fórmulas, parametros para seleção da cor, procedimentos e técnicas de retoques de imagem;25;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
141;Animação 2 D;50;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
145;Som/áudio - captação, registo e edição;50;Tecnológica;213;Audiovisuais e Produção dos Media;213240;Técnico/a Especialista em Desenvolvimento de Produtos Multimédia;5;5
146;Imagem/vídeo - captação, registo e edição;50;Tecnológica;213;Audiovisuais e Produção dos Media;213240;Técnico/a Especialista em Desenvolvimento de Produtos Multimédia;5;5
146;Imagem/vídeo - captação, registo e edição;50;Tecnológica;342;Marketing e Publicidade;342360;Técnico/a de Comunicação - Marketing, Relações Públicas e Publicidade;4;4
153;Finalização de um sítio para Internet;25;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
154;Estilos em CSS (Cascading Style Sheets);25;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
154;Estilos em CSS (Cascading Style Sheets);25;Tecnológica;213;Audiovisuais e Produção dos Media;213370;Técnico/a de Audiovisuais;4;4
159;Guionismo (geral e para aplicação em projecto);50;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
161;Execução do produto multimédia final;50;Tecnológica;213;Audiovisuais e Produção dos Media;213006;Técnico/a de Multimédia;4;4
162;Caracterização e seleção de diferentes tipos de pedra;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
163;Técnicas de manuseamento de ferramentas e utensílios;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
164;Interpretação de projetos simples;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
165;Execução de peças simples de cantaria;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
166;Desenho técnico - gabaritos;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
166;Desenho técnico - gabaritos;50;Tecnológica;215;Artesanato;215014;Artífice Tanoeiro/a;2;2
167;Execução de revestimento para o exterior;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
168;Execução de uma bancada;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
169;Guarnecimento de um vão;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
170;Execução de acabamentos em diferentes tipos de pedra;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
171;Execução de projeto;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
172;Execução de molduras;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
173;Execução de colunas;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
174;Execução de capitéis;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
175;Desenho assistido por computador - mobiliário de pedra;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
176;Execução de mobiliário de pedra;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
177;Execução de cantaria de arte funerária;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
178;Execução livre de peça de escultura;50;Tecnológica;215;Artesanato;215007;Canteiro/a;2;2
179;Identificação de flores e princípios elementares de adorno;50;Tecnológica;215;Artesanato;215008;Florista;2;2
180;Flores de corte, folhagem e plantas ornamentais;50;Tecnológica;215;Artesanato;215008;Florista;2;2
181;Conservação de flores de corte, folhagem e plantas;50;Tecnológica;215;Artesanato;215008;Florista;2;2
182;Normalização de flores e folhagens de corte;50;Tecnológica;215;Artesanato;215008;Florista;2;2
183;Execução de arranjos florais com flores e folhagens de corte, devidamente embalados;50;Tecnológica;215;Artesanato;215008;Florista;2;2
184;Execução de embalagens para flores e folhagens de corte;50;Tecnológica;215;Artesanato;215008;Florista;2;2
186;Estilos, moda e design;50;Tecnológica;215;Artesanato;215008;Florista;2;2
187;Arranjos florais e adornos para cerimónias de casamento e batizado;50;Tecnológica;215;Artesanato;215008;Florista;2;2
188;Arranjos florais e adornos para cerimónias fúnebres;50;Tecnológica;215;Artesanato;215008;Florista;2;2
189;Arranjos florais e adornos para cerimónias religiosas;50;Tecnológica;215;Artesanato;215008;Florista;2;2
190;Arranjos florais e adornos para datas festivas;50;Tecnológica;215;Artesanato;215008;Florista;2;2
192;Arranjos florais com elementos secos;50;Tecnológica;215;Artesanato;215008;Florista;2;2
193;Arranjos florais com elementos artificiais;50;Tecnológica;215;Artesanato;215008;Florista;2;2
194;Decoração de espaços interiores e exteriores;50;Tecnológica;215;Artesanato;215008;Florista;2;2
195;Novas tendências em arte floral;50;Tecnológica;215;Artesanato;215008;Florista;2;2
203;Execução de pintura de motivos simples em suporte cerâmico;50;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
211;Técnicas de enforna e cozedura;50;Tecnológica;215;Artesanato;215247;Pintor/a Artístico/a em Azulejo;4;4
215;Princípios de tapeçaria artesanal;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
216;Matérias e utensílios de tapeçaria artesanal;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
217;Técnicas de tratamento de fibras para tecelagem;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
218;Técnicas de tingimento de fibras têxteis;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
219;Preparação de matérias-primas para tecelagem;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
220;Coloração de matérias-primas para tecelagem;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
221;Tapeçaria artesanal de tear;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
222;Técnicas de entrelaçamento de vários tipos de nós e pontos;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
223;Desenvolvimento de projeto e decorações simples;25;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
224;Execução de tapeçarias simples - iniciação;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
225;Execução de tapeçarias simples - análise de projeto;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
226;Execução de tapeçarias simples;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
227;Execução de tapeçarias simples - acabamentos;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
228;Elaboração de projeto de tapeçaria;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
229;Execução de tapeçaria artesanal - iniciação;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
230;Execução de tapeçaria artesanal tradicional;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
231;Execução de tapeçaria artesanal contemporânea;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
232;Execução de tapeçaria artesanal - projeto;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
233;Execução de tapeçaria artesanal - acabamentos e decoração;50;Tecnológica;215;Artesanato;215010;Tecelão/Tecedeira;2;2
236;Introdução à história da cerâmica;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
237;Preparação do posto de trabalho - roda de oleiro;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
238;Manuseamento de materiais e utensílios;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
239;Técnicas de conformação manual;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
240;Operações de manuseamento do barro;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
241;Execução de projetos simples de cerâmica;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
242;Decoração de projetos simples de cerâmica;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
243;Elaboração de projetos;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
244;Execução de peças de olaria;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
245;Técnicas de execução de diferentes peças de olaria tradicional;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
246;Motivos de olaria tradicional;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
247;Técnicas de acabamento - cerâmica;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
248;Aplicação de decorações simples;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
249;Técnicas de vidragem, enforna e cozedura;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
250;Desenho de observação - peças cerâmicas;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
251;Introdução à teoria do design;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
251;Introdução à teoria do design;25;Tecnológica;215;Artesanato;215019;Técnico/a de Vidro Artístico;4;4
251;Introdução à teoria do design;25;Tecnológica;215;Artesanato;215315;Técnico/a de Ourivesaria;4;4
252;Elaboração de projetos criativos;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
252;Elaboração de projetos criativos;50;Tecnológica;215;Artesanato;215019;Técnico/a de Vidro Artístico;4;4
252;Elaboração de projetos criativos;50;Tecnológica;215;Artesanato;215315;Técnico/a de Ourivesaria;4;4
253;Execução de projetos criativos - formas tradicionais;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
254;Execução de projetos criativos - formas contemporâneas;50;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
255;Qualidade técnica e estética das peças;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
256;Armazenamento e embalagem de peças de olaria;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
257;Elementos de gestão da atividade profissional;25;Tecnológica;215;Artesanato;215011;Oleiro/a;2;2
260;Materiais, ferramentas e utensílios na construção metálica;50;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
261;Operação com máquinas manuais e máquinas-ferramenta;50;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
262;Execução e montagem de conjuntos de peças simples;50;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
263;Desenho técnico - planificação e traçagem em serralharia artística;50;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
264;Processos de soldadura em artesanato;50;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
264;Processos de soldadura em artesanato;50;Tecnológica;215;Artesanato;215245;Artesão/ã das Artes do Metal;4;4
265;Preparação/execução de diferentes ligas;25;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
266;Enformação por martelagem/malhação e caldeamento;25;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
267;Execução de ferramentas agrícolas tradicionais;50;Tecnológica;215;Artesanato;215012;Artífice de Ferro;2;2
